player,turn,deadwood,score,opp_score,hand_result,match_result
0,9,35,57,79,-9,0
1,10,18,79,57,9,1
0,11,25,57,79,-9,0
1,12,18,79,57,9,1
0,13,25,57,79,-9,0
1,14,13,79,57,9,1
0,15,27,57,79,-9,0
1,16,11,79,57,9,1
1,1,61,88,57,24,1
0,2,50,57,88,-24,0
1,3,61,88,57,24,1
0,4,50,57,88,-24,0
1,5,31,88,57,24,1
0,6,42,57,88,-24,0
1,7,25,88,57,24,1
0,8,35,57,88,-24,0
1,9,19,88,57,24,1
0,10,35,57,88,-24,0
1,11,19,88,57,24,1
1,1,45,0,0,16,1
0,2,63,0,0,-16,0
1,3,45,0,0,16,1
0,4,34,0,0,-16,0
1,5,17,0,0,16,1
0,6,34,0,0,-16,0
1,7,15,0,0,16,1
0,8,30,0,0,-16,0
1,9,15,0,0,16,1
0,10,30,0,0,-16,0
1,11,15,0,0,16,1
0,12,27,0,0,-16,0
1,13,15,0,0,16,1
0,1,60,0,16,-21,0
1,2,65,16,0,21,1
0,3,60,0,16,-21,0
1,4,65,16,0,21,1
0,5,51,0,16,-21,0
1,6,65,16,0,21,1
0,7,31,0,16,-21,0
1,8,65,16,0,21,1
0,9,31,0,16,-21,0
1,10,65,16,0,21,1
0,11,27,0,16,-21,0
1,12,49,16,0,21,1
0,13,27,0,16,-21,0
1,14,15,16,0,21,1
0,15,30,0,16,-21,0
1,16,15,16,0,21,1
0,17,31,0,16,-21,0
1,18,15,16,0,21,1
0,19,31,0,16,-21,0
1,20,12,16,0,21,1
1,1,46,37,0,10,1
0,2,41,0,37,-10,0
1,3,46,37,0,10,1
0,4,41,0,37,-10,0
1,5,39,37,0,10,1
0,6,36,0,37,-10,0
1,7,15,37,0,10,1
0,8,36,0,37,-10,0
1,9,15,37,0,10,1
0,10,36,0,37,-10,0
1,11,15,37,0,10,1
0,12,36,0,37,-10,0
1,13,15,37,0,10,1
0,14,32,0,37,-10,0
1,15,15,37,0,10,1
0,1,58,0,47,-30,0
1,2,37,47,0,30,1
0,3,58,0,47,-30,0
1,4,37,47,0,30,1
0,5,51,0,47,-30,0
1,6,37,47,0,30,1
0,7,51,0,47,-30,0
1,8,35,47,0,30,1
0,9,45,0,47,-30,0
1,10,27,47,0,30,1
0,11,45,0,47,-30,0
1,12,12,47,0,30,1
0,13,44,0,47,-30,0
1,14,12,47,0,30,1
1,1,70,77,0,-48,1
0,2,70,0,77,48,0
1,3,70,77,0,-48,1
0,4,40,0,77,48,0
1,5,67,77,0,-48,1
0,6,18,0,77,48,0
0,1,83,48,77,19,0
1,2,58,77,48,-19,1
0,3,53,48,77,19,0
1,4,54,77,48,-19,1
0,5,24,48,77,19,0
1,6,54,77,48,-19,1
0,7,14,48,77,19,0
1,1,34,77,67,3,1
0,2,59,67,77,-3,0
1,3,34,77,67,3,1
0,4,36,67,77,-3,0
1,5,34,77,67,3,1
0,6,36,67,77,-3,0
1,7,34,77,67,3,1
0,8,30,67,77,-3,0
1,9,25,77,67,3,1
0,10,30,67,77,-3,0
1,11,25,77,67,3,1
0,12,30,67,77,-3,0
1,13,25,77,67,3,1
0,14,20,67,77,-3,0
1,15,20,77,67,3,1
0,16,20,67,77,-3,0
1,17,14,77,67,3,1
0,18,8,67,77,-3,0
1,19,14,77,67,3,1
0,1,49,67,80,10,0
1,2,61,80,67,-10,1
0,3,49,67,80,10,0
1,4,61,80,67,-10,1
0,5,44,67,80,10,0
1,6,57,80,67,-10,1
0,7,38,67,80,10,0
1,8,41,80,67,-10,1
0,9,29,67,80,10,0
1,10,41,80,67,-10,1
0,11,14,67,80,10,0
1,12,39,80,67,-10,1
0,13,14,67,80,10,0
1,14,33,80,67,-10,1
0,15,16,67,80,10,0
1,1,67,80,77,-6,1
0,2,48,77,80,6,0
1,3,67,80,77,-6,1
0,4,48,77,80,6,0
1,5,41,80,77,-6,1
0,6,18,77,80,6,0
1,7,41,80,77,-6,1
0,8,16,77,80,6,0
1,9,17,80,77,-6,1
0,10,16,77,80,6,0
0,1,66,83,80,-10,0
1,2,67,80,83,10,1
0,3,66,83,80,-10,0
1,4,67,80,83,10,1
0,5,62,83,80,-10,0
1,6,37,80,83,10,1
0,7,33,83,80,-10,0
1,8,14,80,83,10,1
1,1,71,90,83,15,1
0,2,63,83,90,-15,0
1,3,71,90,83,15,1
0,4,63,83,90,-15,0
1,5,70,90,83,15,1
0,6,65,83,90,-15,0
1,7,61,90,83,15,1
0,8,35,83,90,-15,0
1,9,45,90,83,15,1
0,10,28,83,90,-15,0
1,11,45,90,83,15,1
0,12,21,83,90,-15,0
1,13,36,90,83,15,1
0,14,21,83,90,-15,0
1,15,22,90,83,15,1
0,16,21,83,90,-15,0
1,17,16,90,83,15,1
0,18,21,83,90,-15,0
1,19,16,90,83,15,1
0,20,21,83,90,-15,0
1,21,11,90,83,15,1
0,22,21,83,90,-15,0
1,23,11,90,83,15,1
0,24,21,83,90,-15,0
1,25,11,90,83,15,1
0,1,46,0,0,-14,0
1,2,63,0,0,14,1
0,3,46,0,0,-14,0
1,4,63,0,0,14,1
0,5,45,0,0,-14,0
1,6,54,0,0,14,1
0,7,46,0,0,-14,0
1,8,51,0,0,14,1
0,9,46,0,0,-14,0
1,10,42,0,0,14,1
0,11,20,0,0,-14,0
1,12,39,0,0,14,1
0,13,25,0,0,-14,0
1,14,19,0,0,14,1
0,15,25,0,0,-14,0
1,16,19,0,0,14,1
0,17,19,0,0,-14,0
1,18,19,0,0,14,1
0,19,21,0,0,-14,0
1,20,19,0,0,14,1
0,21,21,0,0,-14,0
1,22,19,0,0,14,1
1,1,58,14,0,4,1
0,2,58,0,14,-4,0
1,3,52,14,0,4,1
0,4,50,0,14,-4,0
1,5,45,14,0,4,1
0,6,49,0,14,-4,0
1,7,45,14,0,4,1
0,8,22,0,14,-4,0
1,9,45,14,0,4,1
0,10,22,0,14,-4,0
1,11,36,14,0,4,1
0,12,22,0,14,-4,0
1,13,30,14,0,4,1
0,14,22,0,14,-4,0
1,15,25,14,0,4,1
0,1,52,0,18,-15,0
1,2,47,18,0,15,1
0,3,52,0,18,-15,0
1,4,18,18,0,15,1
0,5,46,0,18,-15,0
1,6,11,18,0,15,1
1,1,48,33,0,71,1
0,2,50,0,33,-71,0
1,3,24,33,0,71,1
0,4,46,0,33,-71,0
1,5,16,33,0,71,1
0,6,48,0,33,-71,0
1,7,14,33,0,71,1
1,1,67,0,0,-26,0
0,2,54,0,0,26,1
1,3,67,0,0,-26,0
0,4,54,0,0,26,1
1,5,66,0,0,-26,0
0,6,24,0,0,26,1
1,7,37,0,0,-26,0
0,8,24,0,0,26,1
1,9,37,0,0,-26,0
0,10,15,0,0,26,1
0,1,82,26,0,-9,1
1,2,39,0,26,9,0
0,3,82,26,0,-9,1
1,4,39,0,26,9,0
0,5,84,26,0,-9,1
1,6,22,0,26,9,0
0,7,54,26,0,-9,1
1,8,22,0,26,9,0
0,9,54,26,0,-9,1
1,10,22,0,26,9,0
0,11,54,26,0,-9,1
1,12,19,0,26,9,0
0,13,54,26,0,-9,1
1,14,19,0,26,9,0
0,15,54,26,0,-9,1
1,16,16,0,26,9,0
0,17,47,26,0,-9,1
1,18,16,0,26,9,0
0,19,19,26,0,-9,1
1,20,16,0,26,9,0
1,1,70,9,26,5,0
0,2,60,26,9,-5,1
1,3,70,9,26,5,0
0,4,60,26,9,-5,1
1,5,69,9,26,5,0
0,6,60,26,9,-5,1
1,7,60,9,26,5,0
0,8,61,26,9,-5,1
1,9,33,9,26,5,0
0,10,60,26,9,-5,1
1,11,33,9,26,5,0
0,12,60,26,9,-5,1
1,13,25,9,26,5,0
0,14,59,26,9,-5,1
1,15,25,9,26,5,0
0,16,43,26,9,-5,1
1,17,25,9,26,5,0
0,18,43,26,9,-5,1
1,19,21,9,26,5,0
0,1,24,26,14,-14,1
1,2,51,14,26,14,0
0,3,24,26,14,-14,1
1,4,51,14,26,14,0
0,5,24,26,14,-14,1
1,6,29,14,26,14,0
0,7,24,26,14,-14,1
1,8,12,14,26,14,0
0,9,24,26,14,-14,1
1,10,12,14,26,14,0
0,11,16,26,14,-14,1
1,12,12,14,26,14,0
1,1,46,28,26,27,0
0,2,62,26,28,-27,1
1,3,46,28,26,27,0
0,4,62,26,28,-27,1
1,5,43,28,26,27,0
0,6,62,26,28,-27,1
1,7,31,28,26,27,0
0,8,59,26,28,-27,1
1,9,31,28,26,27,0
0,1,57,26,55,29,1
1,2,60,55,26,-29,0
0,3,57,26,55,29,1
1,4,60,55,26,-29,0
0,5,57,26,55,29,1
1,6,48,55,26,-29,0
0,7,55,26,55,29,1
1,8,45,55,26,-29,0
0,9,55,26,55,29,1
1,10,42,55,26,-29,0
0,11,38,26,55,29,1
1,12,42,55,26,-29,0
0,13,44,26,55,29,1
1,14,42,55,26,-29,0
0,15,44,26,55,29,1
1,16,42,55,26,-29,0
0,17,45,26,55,29,1
1,18,25,55,26,-29,0
0,19,25,26,55,29,1
1,20,21,55,26,-29,0
0,21,15,26,55,29,1
1,22,21,55,26,-29,0
0,23,1,26,55,29,1
1,24,17,55,26,-29,0
0,25,1,26,55,29,1
1,26,17,55,26,-29,0
1,1,55,55,55,-6,0
0,2,41,55,55,6,1
1,3,55,55,55,-6,0
0,4,41,55,55,6,1
1,5,54,55,55,-6,0
0,6,32,55,55,6,1
1,7,26,55,55,-6,0
0,8,32,55,55,6,1
1,9,26,55,55,-6,0
0,10,32,55,55,6,1
1,11,24,55,55,-6,0
0,12,21,55,55,6,1
0,1,42,61,55,-1,1
1,2,40,55,61,1,0
0,3,16,61,55,-1,1
1,4,40,55,61,1,0
1,1,63,56,61,25,0
0,2,63,61,56,-25,1
1,3,63,56,61,25,0
0,4,63,61,56,-25,1
1,5,45,56,61,25,0
0,6,61,61,56,-25,1
1,7,45,56,61,25,0
0,8,58,61,56,-25,1
1,9,40,56,61,25,0
0,10,58,61,56,-25,1
1,11,13,56,61,25,0
0,1,70,61,81,-2,1
1,2,52,81,61,2,0
0,3,40,61,81,-2,1
1,4,50,81,61,2,0
0,5,30,61,81,-2,1
1,6,46,81,61,2,0
0,7,30,61,81,-2,1
1,8,44,81,61,2,0
0,9,25,61,81,-2,1
1,10,34,81,61,2,0
0,11,25,61,81,-2,1
1,12,18,81,61,2,0
0,13,19,61,81,-2,1
1,14,15,81,61,2,0
1,1,66,83,61,-41,0
0,2,56,61,83,41,1
1,3,66,83,61,-41,0
0,4,56,61,83,41,1
1,5,58,83,61,-41,0
0,6,53,61,83,41,1
1,7,53,83,61,-41,0
0,8,24,61,83,41,1
1,9,51,83,61,-41,0
0,10,26,61,83,41,1
1,11,51,83,61,-41,0
0,12,31,61,83,41,1
0,1,40,0,0,-9,1
1,2,68,0,0,9,0
0,3,40,0,0,-9,1
1,4,68,0,0,9,0
0,5,33,0,0,-9,1
1,6,38,0,0,9,0
0,7,33,0,0,-9,1
1,8,38,0,0,9,0
0,9,31,0,0,-9,1
1,10,34,0,0,9,0
0,11,15,0,0,-9,1
1,12,15,0,0,9,0
0,13,15,0,0,-9,1
1,14,11,0,0,9,0
1,1,53,9,0,-29,0
0,2,67,0,9,29,1
1,3,43,9,0,-29,0
0,4,58,0,9,29,1
1,5,43,9,0,-29,0
0,6,57,0,9,29,1
1,7,26,9,0,-29,0
0,8,31,0,9,29,1
1,9,19,9,0,-29,0
0,10,31,0,9,29,1
1,11,19,9,0,-29,0
0,12,32,0,9,29,1
1,13,16,9,0,-29,0
0,14,30,0,9,29,1
1,15,11,9,0,-29,0
0,16,28,0,9,29,1
1,17,11,9,0,-29,0
0,18,14,0,9,29,1
1,19,11,9,0,-29,0
0,1,47,29,9,33,1
1,2,45,9,29,-33,0
0,3,38,29,9,33,1
1,4,42,9,29,-33,0
0,5,40,29,9,33,1
1,6,20,9,29,-33,0
0,7,40,29,9,33,1
1,8,19,9,29,-33,0
0,9,39,29,9,33,1
1,10,20,9,29,-33,0
0,11,36,29,9,33,1
1,12,20,9,29,-33,0
0,13,11,29,9,33,1
1,14,12,9,29,-33,0
0,15,11,29,9,33,1
1,16,12,9,29,-33,0
0,17,12,29,9,33,1
1,18,12,9,29,-33,0
0,19,8,29,9,33,1
1,20,12,9,29,-33,0
1,1,51,9,62,7,0
0,2,50,62,9,-7,1
1,3,51,9,62,7,0
0,4,30,62,9,-7,1
1,5,50,9,62,7,0
0,6,24,62,9,-7,1
1,7,26,9,62,7,0
0,8,22,62,9,-7,1
1,9,26,9,62,7,0
0,10,19,62,9,-7,1
1,11,26,9,62,7,0
0,12,22,62,9,-7,1
1,13,18,9,62,7,0
0,14,22,62,9,-7,1
1,15,18,9,62,7,0
0,16,22,62,9,-7,1
1,17,18,9,62,7,0
0,1,67,62,16,-28,1
1,2,67,16,62,28,0
0,3,67,62,16,-28,1
1,4,67,16,62,28,0
0,5,58,62,16,-28,1
1,6,39,16,62,28,0
0,7,36,62,16,-28,1
1,8,31,16,62,28,0
0,9,36,62,16,-28,1
1,10,21,16,62,28,0
0,11,40,62,16,-28,1
1,12,21,16,62,28,0
1,1,56,44,62,4,0
0,2,46,62,44,-4,1
1,3,56,44,62,4,0
0,4,26,62,44,-4,1
1,5,56,44,62,4,0
0,6,16,62,44,-4,1
1,7,41,44,62,4,0
0,8,15,62,44,-4,1
1,9,17,44,62,4,0
0,10,15,62,44,-4,1
1,11,13,44,62,4,0
0,1,24,62,48,28,1
1,2,70,48,62,-28,0
0,3,24,62,48,28,1
1,4,70,48,62,-28,0
0,5,17,62,48,28,1
1,6,66,48,62,-28,0
0,7,17,62,48,28,1
1,8,66,48,62,-28,0
0,9,16,62,48,28,1
1,10,39,48,62,-28,0
0,11,16,62,48,28,1
1,12,31,48,62,-28,0
0,13,13,62,48,28,1
1,14,27,48,62,-28,0
0,15,12,62,48,28,1
1,16,27,48,62,-28,0
0,17,12,62,48,28,1
1,18,17,48,62,-28,0
0,19,10,62,48,28,1
1,20,17,48,62,-28,0
0,21,10,62,48,28,1
1,22,13,48,62,-28,0
0,23,10,62,48,28,1
1,24,13,48,62,-28,0
0,25,11,62,48,28,1
1,26,12,48,62,-28,0
1,1,62,48,90,-53,0
0,2,67,90,48,53,1
1,3,62,48,90,-53,0
0,4,41,90,48,53,1
1,5,62,48,90,-53,0
0,6,35,90,48,53,1
1,7,62,48,90,-53,0
0,8,21,90,48,53,1
1,1,68,0,0,13,0
0,2,59,0,0,-13,1
1,3,68,0,0,13,0
0,4,59,0,0,-13,1
1,5,68,0,0,13,0
0,6,63,0,0,-13,1
1,7,68,0,0,13,0
0,8,58,0,0,-13,1
1,9,65,0,0,13,0
0,10,46,0,0,-13,1
1,11,37,0,0,13,0
0,12,40,0,0,-13,1
1,13,37,0,0,13,0
0,14,34,0,0,-13,1
1,15,31,0,0,13,0
0,16,34,0,0,-13,1
1,17,31,0,0,13,0
0,18,32,0,0,-13,1
1,19,20,0,0,13,0
0,20,34,0,0,-13,1
1,21,14,0,0,13,0
0,22,33,0,0,-13,1
1,23,13,0,0,13,0
0,24,16,0,0,-13,1
1,25,13,0,0,13,0
0,26,16,0,0,-13,1
1,27,13,0,0,13,0
0,1,60,0,13,1,1
1,2,40,13,0,-1,0
0,3,60,0,13,1,1
1,4,40,13,0,-1,0
0,5,64,0,13,1,1
1,6,18,13,0,-1,0
0,7,64,0,13,1,1
1,8,11,13,0,-1,0
0,9,36,0,13,1,1
1,10,11,13,0,-1,0
0,11,27,0,13,1,1
1,12,11,13,0,-1,0
0,13,27,0,13,1,1
1,1,62,13,1,10,0
0,2,51,1,13,-10,1
1,3,62,13,1,10,0
0,4,51,1,13,-10,1
1,5,62,13,1,10,0
0,6,21,1,13,-10,1
1,7,54,13,1,10,0
0,8,21,1,13,-10,1
1,9,54,13,1,10,0
0,10,21,1,13,-10,1
1,11,30,13,1,10,0
0,1,75,1,23,-7,1
1,2,45,23,1,7,0
0,3,53,1,23,-7,1
1,4,41,23,1,7,0
0,5,53,1,23,-7,1
1,6,32,23,1,7,0
0,7,46,1,23,-7,1
1,8,32,23,1,7,0
0,9,46,1,23,-7,1
1,10,22,23,1,7,0
0,11,16,1,23,-7,1
1,12,19,23,1,7,0
0,13,16,1,23,-7,1
1,14,17,23,1,7,0
1,1,58,30,1,-27,0
0,2,52,1,30,27,1
1,3,58,30,1,-27,0
0,4,52,1,30,27,1
1,5,49,30,1,-27,0
0,6,45,1,30,27,1
1,7,49,30,1,-27,0
0,8,45,1,30,27,1
1,9,49,30,1,-27,0
0,10,22,1,30,27,1
1,11,42,30,1,-27,0
0,12,22,1,30,27,1
1,13,41,30,1,-27,0
0,14,25,1,30,27,1
1,15,41,30,1,-27,0
0,16,28,1,30,27,1
1,17,39,30,1,-27,0
0,18,20,1,30,27,1
1,19,30,30,1,-27,0
0,20,10,1,30,27,1
1,21,13,30,1,-27,0
0,22,7,1,30,27,1
1,23,13,30,1,-27,0
0,24,3,1,30,27,1
1,25,13,30,1,-27,0
0,26,3,1,30,27,1
1,27,13,30,1,-27,0
0,28,3,1,30,27,1
1,29,12,30,1,-27,0
0,1,41,28,30,-19,1
1,2,30,30,28,19,0
0,3,41,28,30,-19,1
1,4,30,30,28,19,0
1,1,59,49,28,2,0
0,2,55,28,49,-2,1
1,3,59,49,28,2,0
0,4,39,28,49,-2,1
1,5,58,49,28,2,0
0,6,13,28,49,-2,1
1,7,38,49,28,2,0
0,8,13,28,49,-2,1
1,9,35,49,28,2,0
0,10,11,28,49,-2,1
1,11,13,49,28,2,0
0,12,16,28,49,-2,1
1,13,13,49,28,2,0
0,1,58,28,51,-32,1
1,2,44,51,28,32,0
0,3,58,28,51,-32,1
1,4,44,51,28,32,0
0,5,50,28,51,-32,1
1,6,43,51,28,32,0
0,7,46,28,51,-32,1
1,8,41,51,28,32,0
0,9,46,28,51,-32,1
1,10,19,51,28,32,0
1,1,28,83,28,6,0
0,2,70,28,83,-6,1
1,3,28,83,28,6,0
0,4,70,28,83,-6,1
1,5,27,83,28,6,0
0,6,64,28,83,-6,1
1,7,19,83,28,6,0
0,8,34,28,83,-6,1
1,9,19,83,28,6,0
0,1,27,28,89,51,1
1,2,77,89,28,-51,0
0,3,27,28,89,51,1
1,4,77,89,28,-51,0
0,5,24,28,89,51,1
1,1,45,89,79,7,0
0,2,61,79,89,-7,1
1,3,45,89,79,7,0
0,4,32,79,89,-7,1
1,5,45,89,79,7,0
0,6,36,79,89,-7,1
1,7,41,89,79,7,0
0,8,26,79,89,-7,1
1,9,41,89,79,7,0
0,10,18,79,89,-7,1
1,11,24,89,79,7,0
0,12,25,79,89,-7,1
1,13,17,89,79,7,0
0,14,19,79,89,-7,1
1,15,15,89,79,7,0
0,16,15,79,89,-7,1
1,17,15,89,79,7,0
0,18,15,79,89,-7,1
1,19,14,89,79,7,0
0,1,44,79,96,31,1
1,2,43,96,79,-31,0
0,3,44,79,96,31,1
1,4,43,96,79,-31,0
0,5,28,79,96,31,1
0,1,67,0,0,10,1
1,2,66,0,0,-10,0
0,3,67,0,0,10,1
1,4,66,0,0,-10,0
0,5,69,0,0,10,1
1,6,63,0,0,-10,0
0,7,45,0,0,10,1
1,8,58,0,0,-10,0
0,9,35,0,0,10,1
1,10,49,0,0,-10,0
0,11,26,0,0,10,1
1,12,42,0,0,-10,0
0,13,27,0,0,10,1
1,1,53,0,10,-11,0
0,2,58,10,0,11,1
1,3,53,0,10,-11,0
0,4,58,10,0,11,1
1,5,51,0,10,-11,0
0,6,28,10,0,11,1
1,7,44,0,10,-11,0
0,8,28,10,0,11,1
1,9,37,0,10,-11,0
0,10,28,10,0,11,1
1,11,35,0,10,-11,0
0,12,28,10,0,11,1
0,1,67,21,0,-30,1
1,2,69,0,21,30,0
0,3,67,21,0,-30,1
1,4,57,0,21,30,0
0,5,37,21,0,-30,1
1,6,33,0,21,30,0
1,1,67,30,21,-41,0
0,2,42,21,30,41,1
1,3,67,30,21,-41,0
0,4,42,21,30,41,1
1,5,67,30,21,-41,0
0,6,12,21,30,41,1
0,1,27,62,30,45,1
1,2,70,30,62,-45,0
0,3,27,62,30,45,1
1,4,70,30,62,-45,0
0,5,32,62,30,45,1
1,1,69,0,0,-24,0
0,2,39,0,0,24,1
1,3,69,0,0,-24,0
0,4,39,0,0,24,1
1,5,66,0,0,-24,0
0,6,15,0,0,24,1
1,7,66,0,0,-24,0
0,8,12,0,0,24,1
0,1,63,24,0,-17,1
1,2,64,0,24,17,0
0,3,63,24,0,-17,1
1,4,64,0,24,17,0
0,5,47,24,0,-17,1
1,6,64,0,24,17,0
0,7,43,24,0,-17,1
1,8,35,0,24,17,0
0,9,43,24,0,-17,1
1,10,22,0,24,17,0
0,11,23,24,0,-17,1
1,12,14,0,24,17,0
0,13,27,24,0,-17,1
1,14,14,0,24,17,0
1,1,52,17,24,46,0
0,2,60,24,17,-46,1
1,3,25,17,24,46,0
0,1,60,24,63,-1,1
1,2,78,63,24,1,0
0,3,60,24,63,-1,1
1,4,78,63,24,1,0
0,5,59,24,63,-1,1
1,6,71,63,24,1,0
0,7,58,24,63,-1,1
1,8,64,63,24,1,0
0,9,31,24,63,-1,1
1,10,46,63,24,1,0
0,11,31,24,63,-1,1
1,12,41,63,24,1,0
0,13,31,24,63,-1,1
1,14,41,63,24,1,0
0,15,34,24,63,-1,1
1,16,39,63,24,1,0
0,17,34,24,63,-1,1
1,18,38,63,24,1,0
0,19,26,24,63,-1,1
1,20,31,63,24,1,0
0,21,18,24,63,-1,1
1,22,31,63,24,1,0
0,23,8,24,63,-1,1
1,24,16,63,24,1,0
1,1,49,64,24,-13,0
0,2,68,24,64,13,1
1,3,49,64,24,-13,0
0,4,68,24,64,13,1
1,5,49,64,24,-13,0
0,6,45,24,64,13,1
1,7,49,64,24,-13,0
0,8,49,24,64,13,1
1,9,49,64,24,-13,0
0,10,52,24,64,13,1
1,11,42,64,24,-13,0
0,12,42,24,64,13,1
1,13,37,64,24,-13,0
0,14,16,24,64,13,1
1,15,31,64,24,-13,0
0,16,16,24,64,13,1
0,1,49,37,64,30,1
1,2,78,64,37,-30,0
0,3,49,37,64,30,1
1,4,78,64,37,-30,0
0,5,49,37,64,30,1
1,6,49,64,37,-30,0
0,7,27,37,64,30,1
1,8,42,64,37,-30,0
0,9,25,37,64,30,1
1,1,43,64,67,-28,0
0,2,42,67,64,28,1
1,3,43,64,67,-28,0
0,4,26,67,64,28,1
1,5,39,64,67,-28,0
0,6,22,67,64,28,1
1,7,39,64,67,-28,0
0,8,19,67,64,28,1
1,9,39,64,67,-28,0
0,10,12,67,64,28,1
1,11,39,64,67,-28,0
0,12,12,67,64,28,1
1,13,31,64,67,-28,0
0,14,12,67,64,28,1
1,15,31,64,67,-28,0
0,16,12,67,64,28,1
1,17,25,64,67,-28,0
0,18,6,67,64,28,1
1,19,21,64,67,-28,0
0,20,6,67,64,28,1
1,21,21,64,67,-28,0
0,1,61,95,64,31,1
1,2,67,64,95,-31,0
0,3,48,95,64,31,1
1,4,50,64,95,-31,0
0,5,40,95,64,31,1
1,6,50,64,95,-31,0
0,7,37,95,64,31,1
1,8,50,64,95,-31,0
0,9,35,95,64,31,1
1,10,26,64,95,-31,0
0,11,34,95,64,31,1
1,12,26,64,95,-31,0
0,13,34,95,64,31,1
1,14,26,64,95,-31,0
0,15,23,95,64,31,1
1,16,23,64,95,-31,0
0,17,22,95,64,31,1
1,18,23,64,95,-31,0
0,19,20,95,64,31,1
1,20,23,64,95,-31,0
0,21,20,95,64,31,1
1,22,23,64,95,-31,0
0,23,20,95,64,31,1
1,24,17,64,95,-31,0
0,25,16,95,64,31,1
1,26,17,64,95,-31,0
0,1,73,0,0,-9,1
1,2,69,0,0,9,0
0,3,73,0,0,-9,1
1,4,69,0,0,9,0
0,5,76,0,0,-9,1
1,6,69,0,0,9,0
0,7,51,0,0,-9,1
1,8,49,0,0,9,0
0,9,36,0,0,-9,1
1,10,45,0,0,9,0
0,11,29,0,0,-9,1
1,12,45,0,0,9,0
0,13,26,0,0,-9,1
1,14,45,0,0,9,0
0,15,26,0,0,-9,1
1,16,45,0,0,9,0
0,17,26,0,0,-9,1
1,18,35,0,0,9,0
0,19,25,0,0,-9,1
1,20,20,0,0,9,0
0,21,18,0,0,-9,1
1,22,20,0,0,9,0
0,23,16,0,0,-9,1
1,24,20,0,0,9,0
0,25,16,0,0,-9,1
1,26,20,0,0,9,0
0,27,16,0,0,-9,1
1,28,20,0,0,9,0
1,1,74,9,0,3,0
0,2,35,0,9,-3,1
1,3,74,9,0,3,0
0,4,35,0,9,-3,1
1,5,65,9,0,3,0
0,6,34,0,9,-3,1
1,7,60,9,0,3,0
0,8,34,0,9,-3,1
1,9,57,9,0,3,0
0,10,25,0,9,-3,1
1,11,56,9,0,3,0
0,12,25,0,9,-3,1
1,13,49,9,0,3,0
0,14,25,0,9,-3,1
